birthday,name,profile_url
January 1,Zenzou Inukai,character.php?id=71220
January 1,Natsume,character.php?id=33964
January 1,Asahi Azumane,character.php?id=65960
January 1,Kris Christopher,character.php?id=14893
January 1,Tsukiha Kamiya,character.php?id=66540
January 1,Miyuki Kotobuki,character.php?id=40824
January 1,Kazuki Fuuchoin ,character.php?id=16612
January 1,Hajime Hinata,character.php?id=60988
January 1,Yukariko Sanada,character.php?id=15019
January 1,Sumire,character.php?id=44768
January 1,Sora Kisaragi,character.php?id=71420
January 1,Fumiko Chiba,character.php?id=2879
January 1,Gid Lucion Deviluke ,character.php?id=31152
January 1,Aifa Ryuusenji,character.php?id=76714
January 1,Karin Domyoji,character.php?id=78867
January 1,Yoruichi Shihouin,character.php?id=10753
January 1,Nezu,character.php?id=77843
January 1,Dia Kurosawa,character.php?id=76194
January 1,Hajime Shinoda,character.php?id=77460
January 1,Yoshiko Hanabatake,character.php?id=82008
January 1,Tora,character.php?id=83158
January 1,Tsubaki,character.php?id=77268
January 1,Izuru Kamukura,character.php?id=67382
January 1,Yuuki Aito,character.php?id=66803
January 1,Islewan,character.php?id=48545
January 1,Nobunaga Asakura,character.php?id=13626
January 1,Gakushuu Asano,character.php?id=76152
January 1,Amaterasu,character.php?id=76893
January 1,Arashi Amamiya,character.php?id=61925
January 1,Kodama Awaza,character.php?id=78735
January 1,Haru Ichinose,character.php?id=66463
January 1,Kantarou Ichinomiya,character.php?id=9096
January 1,Mutsuki Ichimonji,character.php?id=21726
January 1,Ichiryuu,character.php?id=62197
January 1,Nanami Inatsuki,character.php?id=10192
January 1,Edward Wong Hau Pepelu Tivrusky IV,character.php?id=19435
January 1,Elie,character.php?id=38536
January 1,Kouta Otoyama,character.php?id=62012
January 1,Momiji Kagariya,character.php?id=65611
January 1,Mari Kazaoka,character.php?id=32650
January 1,Keisuke Katagiri,character.php?id=75877
January 1,Anzu Kadotani,character.php?id=49069
January 1,Adberg Erdle,character.php?id=73583
January 1,Arata Kirishima,character.php?id=69971
January 1,Ageha Kuki,character.php?id=32552
January 1,Kurusu Kimihito,character.php?id=29924
January 1,Rin Kurosawa,character.php?id=72989
