id,birthday,name,profile_url,anime_title
0,January 1,Zenzou Inukai,character.php?id=71220,Laughing Under the Clouds
1,January 1,Natsume,character.php?id=33964,
2,January 1,Asahi Azumane,character.php?id=65960,
3,January 1,Kris Christopher,character.php?id=14893,
4,January 1,Tsukiha Kamiya,character.php?id=66540,
5,January 1,Miyuki Kotobuki,character.php?id=40824,
6,January 1,Kazuki Fuuchoin ,character.php?id=16612,
7,January 1,Hajime Hinata,character.php?id=60988,
8,January 1,Yukariko Sanada,character.php?id=15019,
9,January 1,Sumire,character.php?id=44768,
10,January 1,Sora Kisaragi,character.php?id=71420,
11,January 1,Fumiko Chiba,character.php?id=2879,
12,January 1,Gid Lucion Deviluke ,character.php?id=31152,
13,January 1,Aifa Ryuusenji,character.php?id=76714,
14,January 1,Karin Domyoji,character.php?id=78867,
15,January 1,Yoruichi Shihouin,character.php?id=10753,
16,January 1,Nezu,character.php?id=77843,
17,January 1,Dia Kurosawa,character.php?id=76194,
18,January 1,Hajime Shinoda,character.php?id=77460,
19,January 1,Yoshiko Hanabatake,character.php?id=82008,
20,January 1,Tora,character.php?id=83158,
21,January 1,Tsubaki,character.php?id=77268,
22,January 1,Izuru Kamukura,character.php?id=67382,
23,January 1,Yuuki Aito,character.php?id=66803,
24,January 1,Islewan,character.php?id=48545,
25,January 1,Nobunaga Asakura,character.php?id=13626,
26,January 1,Gakushuu Asano,character.php?id=76152,
27,January 1,Amaterasu,character.php?id=76893,
28,January 1,Arashi Amamiya,character.php?id=61925,
29,January 1,Kodama Awaza,character.php?id=78735,
30,January 1,Haru Ichinose,character.php?id=66463,
31,January 1,Kantarou Ichinomiya,character.php?id=9096,
32,January 1,Mutsuki Ichimonji,character.php?id=21726,
33,January 1,Ichiryuu,character.php?id=62197,
34,January 1,Nanami Inatsuki,character.php?id=10192,
35,January 1,Edward Wong Hau Pepelu Tivrusky IV,character.php?id=19435,
36,January 1,Elie,character.php?id=38536,
37,January 1,Kouta Otoyama,character.php?id=62012,
38,January 1,Momiji Kagariya,character.php?id=65611,
39,January 1,Mari Kazaoka,character.php?id=32650,
40,January 1,Keisuke Katagiri,character.php?id=75877,
41,January 1,Anzu Kadotani,character.php?id=49069,
42,January 1,Adberg Erdle,character.php?id=73583,
43,January 1,Arata Kirishima,character.php?id=69971,
44,January 1,Ageha Kuki,character.php?id=32552,
45,January 1,Kurusu Kimihito,character.php?id=29924,
46,January 1,Rin Kurosawa,character.php?id=72989,
47,January 1,Takeo Gouda,character.php?id=71268,
48,January 1,Akane Koumoto,character.php?id=73471,
49,January 1,Daikichi Komusubi,character.php?id=49437,
50,January 1,Tama Sakai,character.php?id=66847,
51,January 1,Bang Shishigami,character.php?id=24125,
52,January 1,Pepper,character.php?id=55034,
53,January 1,Mito Jujo,character.php?id=73311,
54,January 1,Mai Shiranui,character.php?id=29245,
55,January 1,Ritsu,character.php?id=72681,
56,January 1,Sumomo,character.php?id=8774,
57,January 1,Sephiria Arks,character.php?id=15368,
58,January 1,Ran Tao,character.php?id=44545,
59,January 1,Tsubaki Takenaka,character.php?id=63463,
60,January 1,Hiiragi Takenaka,character.php?id=63464,
61,January 1,Daz Bones,character.php?id=27225,
62,January 1,Kaede Tenjouji,character.php?id=20917,
63,January 1,Toki Fujiwara,character.php?id=48282,
64,January 1,Minoru Tomii,character.php?id=68567,
65,January 1,Patrick Colasour,character.php?id=64969,
66,January 1,Hamaji,character.php?id=56819,
67,January 1,Yukichi Fukazawa,character.php?id=67192,
68,January 1,Hawk Mama,character.php?id=78970,
69,January 1,Portgas D. Ace,character.php?id=20428,
70,January 1,Might Guy,character.php?id=10912,
71,January 1,Mao,character.php?id=9958,
72,January 1,Machi,character.php?id=251,
73,January 1,Kyle Matsutake,character.php?id=61026,
74,January 1,Mayumi Thyme,character.php?id=13307,
75,January 1,Gaou Mikado,character.php?id=65754,
76,January 1,Aoi Mishina,character.php?id=20237,
77,January 1,Anji Mito,character.php?id=10639,
78,January 1,Miranda Lotto,character.php?id=22254,
79,January 1,Reinhard van Astrea,character.php?id=76950,
80,January 1,Sayori Rikimaru,character.php?id=5478,
81,January 1,Kaede Rukawa,character.php?id=54484,
82,January 1,Juri Han,character.php?id=77484,
83,January 1,Kei,character.php?id=31262,
84,January 1,Yoruichi Shihouin (cat form),character.php?id=28603,
85,January 1,Batsu Ichimonji,character.php?id=85929,
86,January 1,Molly Baker,character.php?id=26755,
87,January 1,Sumomo,character.php?id=9481,
88,January 1,Ren Tao,character.php?id=16176,
89,January 1,Sakura Saginomiya ,character.php?id=20327,
90,January 1,Johji Ohtomo,character.php?id=62825,
91,January 1,Yuuhi Shinatsuhiko,character.php?id=5430,
92,January 1,Ayumu Itami,character.php?id=14555,
93,January 1,Misuzu,character.php?id=27198,
94,January 1,Shirohebi Nagaraya,character.php?id=90116,
95,January 1,Ageha Kuki,character.php?id=33497,
96,January 1,Portgas D. Ace (young),character.php?id=48783,
97,January 1,Taizo Hori,character.php?id=90580,
98,January 1,Gengorou Kouno,character.php?id=54144,
99,January 1,Cervantes de Leon,character.php?id=19685,
100,January 1,Edge Master,character.php?id=19687,
101,January 1,Gokyoya,character.php?id=12543,
102,January 1,Mai Shiranui (DOA),character.php?id=86940,
103,January 1,Bankotsubo,character.php?id=86972,
104,January 1,Makoto Domyoji,character.php?id=53297,
105,January 1,Mariya Shirou,character.php?id=52496,
106,January 1,Asahi Mitaka,character.php?id=84540,
107,January 1,Mikari Izumigamine,character.php?id=90612,
108,January 1,Motoki Kaidzu,character.php?id=44795,
109,January 1,Koji Shinomiya,character.php?id=24515,
110,January 1,Sayuki Yanagida,character.php?id=21931,
111,January 1,Rani VIII,character.php?id=38210,
112,January 1,Kururi Semimaru,character.php?id=20000,
113,January 1,Hiyori Himeta,character.php?id=58698,
114,January 1,Eclair Saimon,character.php?id=51414,
115,January 1,Tiger,character.php?id=59673,
116,January 1,Mira,character.php?id=12055,
117,January 1,Gordes Musik Yggdmillennia,character.php?id=81704,
118,January 1,Nagisa_Suzushiro,character.php?id=24217,
119,January 1,Nagisa Suzushiro,character.php?id=24216,
120,January 1,Souryuu Sumeragi,character.php?id=14182,
121,January 1,Aoi Taiga,character.php?id=57213,
122,January 1,Chisato Momose,character.php?id=67292,
123,January 1,Mao Sakura,character.php?id=5944,
124,January 1,Gakuencho,character.php?id=58959,
125,January 1,Chiyoko Fujiwara,character.php?id=49074,
126,January 1,Zac,character.php?id=77837,
127,January 1,School principal,character.php?id=34116,
128,January 1,Matsuri Izumi,character.php?id=14389,
129,January 1,Giotto Vongola I,character.php?id=47044,
130,January 1,Moon,character.php?id=78333,
131,January 1,Kate,character.php?id=47347,
132,January 1,Hanji Urabe,character.php?id=81224,
133,January 1,'Shin''ichi Mechazawa',character.php?id=62394,
134,January 1,Nisuke Tominaga,character.php?id=72770,
135,January 1,Ryouta Asagi,character.php?id=91335,
136,January 1,Tachiaki Daichi,character.php?id=93451,
137,January 1,Kaguya Shinomiya,character.php?id=93364,
138,January 1,Aloe,character.php?id=93775,
139,January 1,Grim Aloe,character.php?id=93776,
140,January 1,Cara Olivia,character.php?id=95072,
141,January 1,Tokino Minazuki,character.php?id=95083,
142,January 1,Misaki Kirishima,character.php?id=99150,
143,January 1,Gary Douglas,character.php?id=52350,
144,January 2,Add (Arc Tracer),character.php?id=82683,
145,January 2,Yume Asakura,character.php?id=278,
146,January 2,Chry Santhemum,character.php?id=50386,
147,January 2,Tsubomi Kido,character.php?id=47533,
148,January 2,Add,character.php?id=79741,
149,January 2,Mio Aoyama,character.php?id=23484,
150,January 2,Emelenzia Beatrix Rudiger,character.php?id=13190,
151,January 2,Mimori Kishida,character.php?id=43682,
152,January 2,Sir Nighteye,character.php?id=84225,
153,January 2,Taichi Dan,character.php?id=26876,
154,January 2,Marie Tennouji,character.php?id=36570,
155,January 2,Doctor Kenzo Tenma,character.php?id=14305,
156,January 2,Kazuto Tonoma,character.php?id=23959,
157,January 2,Naisunyi,character.php?id=62205,
158,January 2,Mutsuki Nakano,character.php?id=73578,
159,January 2,Mitsuhiko Nagafukada,character.php?id=75277,
160,January 2,Peeply Lulu ,character.php?id=47652,
161,January 2,Maria Louise,character.php?id=64628,
