January 1,Yoruichi Shihouin,characters.php?id=10753
January 1,Mai Shiranui,characters.php?id=29245
January 1,Mai Shiranui (DOA),characters.php?id=86940
January 1,Juri Han,characters.php?id=77484
January 1,Moon,characters.php?id=78333
January 1,Machi,characters.php?id=251
January 1,Belldandy,characters.php?id=7424
January 1,Edward Wong Hau Pepelu Tivrusky IV,characters.php?id=19435
January 1,Kei,characters.php?id=31262
January 1,Anzu Kadotani,characters.php?id=49069
January 1,Chiyoko Fujiwara,characters.php?id=49074
January 1,Kaede Rukawa,characters.php?id=54484
January 1,'Shin''ichi Mechazawa',characters.php?id=62394
January 1,Tsubaki Takenaka,characters.php?id=63463
January 1,Hiiragi Takenaka,characters.php?id=63464
January 1,Asahi Azumane,characters.php?id=65960
January 1,Tama Sakai,characters.php?id=66847
January 1,Shio Kobe,characters.php?id=91262
January 1,Grim Aloe,characters.php?id=93776
January 1,Rin Morichika,characters.php?id=94689
January 1,Monica,characters.php?id=103214
January 1,Fumiko Chiba,characters.php?id=2879
January 1,Yuuhi Shinatsuhiko,characters.php?id=5430
January 1,Sayori Rikimaru,characters.php?id=5478
January 1,Mao Sakura,characters.php?id=5944
January 1,Sumomo,characters.php?id=8774
January 1,Kantarou Ichinomiya,characters.php?id=9096
January 1,Sumomo,characters.php?id=9481
January 1,Mao,characters.php?id=9958
January 1,Nanami Inatsuki,characters.php?id=10192
January 1,Anji Mito,characters.php?id=10639
January 1,Might Guy,characters.php?id=10912
January 1,Mira,characters.php?id=12055
January 1,Gokyoya,characters.php?id=12543
January 1,Mayumi Thyme,characters.php?id=13307
January 1,Nobunaga Asakura,characters.php?id=13626
January 1,Souryuu Sumeragi,characters.php?id=14182
January 1,Matsuri Izumi,characters.php?id=14389
January 1,Ayumu Itami,characters.php?id=14555
January 1,Kris Christopher,characters.php?id=14893
January 1,Yukariko Sanada,characters.php?id=15019
January 1,Sephiria Arks,characters.php?id=15368
January 1,Ren Tao,characters.php?id=16176
January 1,Kazuki Fuuchoin ,characters.php?id=16612
January 1,Cervantes de Leon,characters.php?id=19685
January 1,Edge Master,characters.php?id=19687
January 1,Kururi Semimaru,characters.php?id=20000
January 1,Aoi Mishina,characters.php?id=20237
January 1,Sakura Saginomiya ,characters.php?id=20327
January 1,Portgas D. Ace,characters.php?id=20428
